,count,,,m-estimate of probability,,
Word,cooking,plant,restaurant,class cooking,class plant,class restaurant
add,92,0,1,0.051724138,0.001488095,0.001380262
all,85,25,88,0.047830923,0.038690476,0.06142167
best,49,9,126,0.027808676,0.014880952,0.087646653
broth,94,0,4,0.052836485,0.001488095,0.003450656
care,1,35,3,0.001112347,0.053571429,0.002760524
chef,2,0,65,0.001668521,0.001488095,0.045548654
delicious,76,0,33,0.042825362,0.001488095,0.023464458
food,22,0,116,0.012791991,0.001488095,0.080745342
here,28,15,68,0.016129032,0.023809524,0.047619048
humidity,1,40,0,0.001112347,0.061011905,0.000690131
light,10,69,4,0.006117909,0.104166667,0.003450656
love,93,1,14,0.052280311,0.00297619,0.010351967
made,129,2,13,0.072302558,0.004464286,0.009661836
make,175,6,34,0.097886541,0.010416667,0.024154589
menu,2,0,106,0.001668521,0.001488095,0.07384403
on,143,38,214,0.080088988,0.058035714,0.148378192
one,85,8,102,0.047830923,0.013392857,0.071083506
out,122,9,71,0.068409344,0.014880952,0.049689441
plant,5,120,4,0.003337041,0.180059524,0.003450656
plants,0,68,2,0.000556174,0.102678571,0.002070393
recipe,306,0,5,0.170745273,0.001488095,0.004140787
restaurant,7,0,164,0.004449388,0.001488095,0.113871636
restaurants,2,0,110,0.001668521,0.001488095,0.076604555
roots,0,39,5,0.000556174,0.05952381,0.004140787
soil,0,61,0,0.000556174,0.092261905,0.000690131
thank,156,1,6,0.087319244,0.00297619,0.004830918
up,65,40,60,0.036707453,0.061011905,0.042097999
water,20,58,3,0.011679644,0.087797619,0.002760524
