1	NO	30	150	EN	21	136	HA	24	135	ME	17	135
2	HA	30	143	FA	20	139	AU	22	119	DW	24	103
3	AU	30	155	SW	25	147	DA	21	138	CU	22	115
4	FA	30	158	DA	25	152	ME	23	121	EN	16	92
5	CU	11	166	DW	25	140	FA	30	125	ME	19	110
6	ME	16	149	EN	22	144	GI	30	129	HA	25	124
7	GI	30	139	HA	16	127	EN	30	122	SW	9	116
8	HA	27	154	EN	30	133	DA	15	119	GI	21	95
9	EN	30	157	SW	30	135	FA	30	133	DA	30	130
10	CH	30	158	AL	16	148	FA	28	125	WI	13	100
11	DW	28	144	FA	30	142	CU	19	139	SW	22	136
12	EN	19	169	CU	25	158	SW	24	152	DA	30	133
13	CU	30	146	ME	20	141	DA	30	131	FA	20	122
14	FA	15	150	AL	30	136	ME	22	119	EN	9	97
15	CU	30	154	FA	20	124	DW	15	112	AL	20	100
16	SW	30	162	CH	25	136	DA	24	122	CU	23	120
17	AL	30	168	CU	30	126	SW	13	118	FA	24	103
18	HA	29	167	WI	22	151	AL	30	118	DW	28	113
19	SW	30	153	HA	22	144	CH	30	137	EN	17	130
20	FA	27	158	WI	30	148	SW	18	137	AL	30	126
21	DW	25	147	HA	17	136	AU	30	125	DA	16	120
22	EN	19	154	ME	19	140	NO	30	124	CU	19	118
